feature,clip_low,clip_high
net_sales_ratio_mean_7,0.0,4.193595162857144
net_sales_ratio_mean_14,0.0,4.596838136398284
net_sales_ratio_mean_28,0.0,4.359018245211438
net_sales_ratio_mean_56,0.0,4.738445804609384
net_sales_change_1,-1.0,10.697604330719264
net_sales_change_7,-1.0,9.23773371191144
net_sales_change_14,-1.0,13.49123236852992
net_sales_change_28,-1.0,13.264412311491288
gross_sales_ratio_mean_7,0.0,3.697942772989216
gross_sales_ratio_mean_14,0.0,4.511203279241555
gross_sales_ratio_mean_28,0.0,4.428644663835816
gross_sales_ratio_mean_56,0.0,4.752962861358861
gross_sales_change_1,-1.0,10.538134097335599
gross_sales_change_7,-1.0,9.223606913820905
gross_sales_change_14,-1.0,12.90177125087226
gross_sales_change_28,-1.0,11.537286156589204
invoice_count_ratio_mean_7,0.0,3.0025000000000546
invoice_count_ratio_mean_14,0.0,3.1111111111111107
invoice_count_ratio_mean_28,0.0,3.0005555555555676
invoice_count_ratio_mean_56,0.0,2.89680580762251
invoice_count_change_1,-1.0,2.7786111111111294
invoice_count_change_7,-1.0,3.0
invoice_count_change_14,-1.0,3.0
invoice_count_change_28,-1.0,3.4005000000000107
observed_customer_count_ratio_mean_7,0.0,3.5
observed_customer_count_ratio_mean_14,0.0,3.501166666666692
observed_customer_count_ratio_mean_28,0.0,3.294117647058824
observed_customer_count_ratio_mean_56,0.0,3.2
observed_customer_count_change_1,-1.0,2.166715686274511
observed_customer_count_change_7,-1.0,2.6003333333333405
observed_customer_count_change_14,-1.0,2.7502500000000056
observed_customer_count_change_28,-1.0,3.3753472222222296
unique_products_ratio_mean_7,0.0,3.5
unique_products_ratio_mean_14,0.0,3.232115384615414
unique_products_ratio_mean_28,0.0,3.5
unique_products_ratio_mean_56,0.0,3.3604307692307787
unique_products_change_1,-1.0,3.0003645833333414
unique_products_change_7,-1.0,3.3636931818181837
unique_products_change_14,-1.0,3.21300505050507
unique_products_change_28,-1.0,3.0
units_ratio_mean_7,0.0,5.038908651734745
units_ratio_mean_14,0.0,6.491459826817288
units_ratio_mean_28,0.0,8.198460066953684
units_ratio_mean_56,0.0,8.635013093821772
units_change_1,-1.0,16.0
units_change_7,-1.0,22.050061240842545
units_change_14,-1.0,27.001600000000035
units_change_28,-1.0,22.205292207792294
avg_invoice_value_ratio_mean_7,0.0,3.8346519044746685
avg_invoice_value_ratio_mean_14,0.0,4.8521706777455496
avg_invoice_value_ratio_mean_28,0.0,4.7378862430921345
avg_invoice_value_ratio_mean_56,0.0,4.363098968866174
avg_invoice_value_change_1,-1.0,6.499808770725438
avg_invoice_value_change_7,-1.0,6.671741449266275
avg_invoice_value_change_14,-1.0,7.514038505418595
avg_invoice_value_change_28,-1.0,6.958431618169083
avg_unit_value_ratio_mean_7,0.0,3.139703441202347
avg_unit_value_ratio_mean_14,0.0,3.4053614852831227
avg_unit_value_ratio_mean_28,0.0,3.4208778569694607
avg_unit_value_ratio_mean_56,0.0,3.489730476303961
avg_unit_value_change_1,-1.0,4.459893119085969
avg_unit_value_change_7,-1.0,4.639969887521427
avg_unit_value_change_14,-1.0,5.164231934263086
avg_unit_value_change_28,-1.0,6.423433063007599
return_rate_value_ratio_mean_7,0.0,7.0
return_rate_value_ratio_mean_14,0.0,12.871000959223874
return_rate_value_ratio_mean_28,0.0,18.554658942219667
return_rate_value_ratio_mean_56,0.0,24.561610701972324
return_rate_value_change_1,-1.0,126.72994574656309
return_rate_value_change_7,-1.0,100.66700881781162
return_rate_value_change_14,-1.0,116.54035635364315
return_rate_value_change_28,-1.0,124.66567691471292
electronic_share_ratio_mean_7,0.0,3.5
electronic_share_ratio_mean_14,0.0,2.8000000000000003
electronic_share_ratio_mean_28,0.0,2.8
electronic_share_ratio_mean_56,0.0,2.557077625570776
electronic_share_change_1,-1.0,1.0
electronic_share_change_7,-1.0,1.0
electronic_share_change_14,-1.0,1.0
electronic_share_change_28,-1.0,1.0
merchant_net_sales,29443.56559073278,355059.8016375
merchant_gross_sales,30973.459588555263,388192.5481666604
merchant_invoices,80.0,556.0
merchant_customers,77.0,471.0
merchant_units,2764.0,111111.0
merchant_returns,0.0,74983.78632708761
merchant_net_sales_ratio_mean_7,0.2060978527383376,2.028809569307743
merchant_net_sales_ratio_mean_28,0.1946165423946232,2.322166458156885
merchant_net_sales_ratio_mean_56,0.1897202622137136,2.21519582138808
merchant_net_sales_change_7,-0.8206731995975639,5.844610274921384
merchant_net_sales_change_28,-0.8297055285143078,7.0766482002679565
merchant_invoices_ratio_mean_7,0.338777979431337,1.5489212242849977
merchant_invoices_ratio_mean_28,0.2773802971931756,1.7328431372549018
merchant_invoices_ratio_mean_56,0.2440197902954927,1.9812495722986383
merchant_invoices_change_7,-0.7012987012987013,2.108695652173913
merchant_invoices_change_28,-0.7427293064876958,2.976923076923077
merchant_customers_ratio_mean_7,0.342701722574796,1.630452674897119
merchant_customers_ratio_mean_28,0.2584512107408295,1.6958017894012387
merchant_customers_ratio_mean_56,0.2366197183098591,1.9285484390086904
merchant_customers_change_7,-0.6895161290322581,1.7959183673469388
merchant_customers_change_28,-0.817966903073286,2.510204081632653
merchant_units_ratio_mean_7,0.2066260639159733,3.977670533118844
merchant_units_ratio_mean_28,0.1244766037717873,6.121018163466079
merchant_units_ratio_mean_56,0.1323622345533638,5.562712325044164
merchant_units_change_7,-0.8765871000507872,8.360808936263416
merchant_units_change_28,-0.9078790527654164,9.270418132082844
merchant_return_rate,0.0,0.3519979743582876
category_share_ratio_28,0.0,4.070277962389364
category_share_change_7,-1.0,5.951615825872197
sama_predicted_value_h1_index_52median,0.3778836947859081,2.58915123317088
sama_predicted_value_h2_index_52median,0.6097723110485951,2.067095341970426
sama_predicted_count_h1_index_52median,0.597256511509379,1.6462793010126424
sama_predicted_count_h2_index_52median,0.6219685357681224,1.5448748619610615
sama_predicted_value_h1_change_vs_last,-0.59491124940082,1.6005210339598372
sama_predicted_value_h2_change_vs_last,-0.6744126262972352,2.9151797889845774
sama_predicted_count_h1_change_vs_last,-0.4374324036559452,0.7917695345281368
sama_predicted_count_h2_change_vs_last,-0.5050354223828515,1.4124171802560823
is_ramadan,0.0,1.0
is_eid_fitr,0.0,1.0
is_hajj,0.0,1.0
is_eid_adha,0.0,1.0
is_national_day_window,0.0,1.0
is_founding_day_window,0.0,1.0
salary_period,0.0,1.0
dow_sin,-0.9749279121818236,0.9749279121818236
dow_cos,-0.9009688679024191,1.0
year_sin,-0.999832969770105,0.9999300657962056
year_cos,-0.9997202729664084,0.999768818762748
category_Clothing and footwear,0.0,1.0
category_Education,0.0,1.0
category_Food and non-alcoholic beverages,0.0,1.0
category_Furniture and household equipment,0.0,1.0
category_Information and communication,0.0,1.0
category_Other retail goods,0.0,1.0
category_Personal care and miscellaneous goods,0.0,1.0
category_Recreation and culture,0.0,1.0
