date,net_sales,total_amount,quantity,transactions,discount_amount,vat_amount,return_amount,observed_day
2023-07-01,1303.48,1499.01,1,1,0.0,195.53,0.0,1
2023-07-02,53558.47,61592.240000000005,43,4,-4773.06,8033.77,0.0,1
2023-07-03,12614.94,14507.17,11,9,-4436.36,1892.23,0.0,1
2023-07-04,40791.51,46910.26,33,21,-3700.92,6118.75,0.0,1
2023-07-05,53910.1,61996.6,45,19,-8842.02,8086.5,0.0,1
2023-07-06,58545.9,67327.82,49,14,-2023.75,8781.92,260.0,1
2023-07-07,6433.04,7398.0,2,1,0.0,964.96,0.0,1
2023-07-08,16426.14,18890.07,13,6,-1304.36,2463.93,0.0,1
2023-07-09,43154.16,49627.29,46,17,-5308.64,6473.13,0.0,1
2023-07-10,20625.31,23719.13,21,10,-6692.13,3093.82,0.0,1
2023-07-11,66648.0,76645.19,68,17,-13362.5,9997.19,1825.22,1
2023-07-12,18258.29,20997.05,17,12,-2408.71,2738.7599999999998,0.0,1
2023-07-13,36315.67,41763.05,40,7,-669.5699999999999,5447.38,0.0,1
2023-07-14,13125.87,15094.77,8,3,-3043.5,1968.8999999999999,0.0,1
2023-07-15,32255.9,37094.26,18,15,-3513.0299999999997,4838.36,0.0,1
2023-07-16,65045.23,74802.03,63,26,-10276.380000000001,9756.8,9300.87,1
2023-07-17,54755.18,62968.51,33,15,-14009.61,8213.33,1241.74,1
2023-07-18,57880.28,66562.39,31,11,-9059.97,8682.11,0.0,1
2023-07-19,45995.75,52895.159999999996,35,10,-3243.48,6899.41,0.0,1
2023-07-20,76521.74,88000.08,40,18,-6408.69,11478.34,7735.65,1
2023-07-21,2998.26,3448.01,4,2,-1173.93,449.75,0.0,1
2023-07-22,31998.28,36798.02,25,15,-3122.56,4799.74,0.0,1
2023-07-23,18635.64,21430.989999999998,11,9,-3598.2799999999997,2795.35,0.0,1
2023-07-24,178605.01,205395.81999999998,846,14,-92501.31000000001,26790.81,1389.56,1
2023-07-25,55787.270000000004,64155.38,35,19,-4270.71,8368.11,0.0,1
2023-07-26,48391.38,55650.07,47,17,-8671.869999999999,7258.69,3911.3,1
2023-07-27,60426.86,69490.92,30,18,-3865.9700000000003,9064.06,1694.78,1
2023-07-28,9063.7,10423.26,7,5,-973.0400000000001,1359.56,0.0,1
2023-07-29,16936.53,19477.02,17,11,-1313.07,2540.4900000000002,0.0,1
2023-07-30,35115.62,40382.99,20,17,-3216.5699999999997,5267.37,999.13,1
2023-07-31,19307.58,22203.75,19,12,-4071.5699999999997,2896.17,0.0,1
2023-08-01,48880.15,56212.229999999996,29,20,-4582.03,7332.08,5213.41,1
2023-08-02,87357.69,100461.5,103,24,-16671.34,13103.81,0.0,1
2023-08-03,72380.68,83237.85,70,24,-8849.26,10857.17,2086.08,1
2023-08-04,15321.28,17619.510000000002,12,9,-2060.89,2298.23,0.0,1
2023-08-05,45075.97,51837.44,30,15,-3847.75,6761.47,0.0,1
2023-08-06,105052.67,120810.58,62,16,-8051.82,15757.91,8084.01,1
2023-08-07,75935.15,87325.54,36,18,-5390.13,11390.39,10272.8,1
2023-08-08,6984.880000000003,8032.650000000001,24,12,-7379.72,1047.77,27640.87,1
2023-08-09,83597.95999999999,96137.67,42,17,-23979.51,12539.71,3042.6099999999997,1
2023-08-10,89168.69,102544.01999999999,56,12,-5627.91,13375.33,0.0,1
2023-08-11,6500.01,7475.01,5,5,-669.5600000000001,975.0,0.0,1
2023-08-12,24037.57,27643.23,17,9,-1686.96,3605.66,0.0,1
2023-08-13,44842.24,51568.6,37,13,-3269.06,6726.36,0.0,1
2023-08-14,36993.27,42542.32,29,14,-9035.76,5549.05,5606.1,1
2023-08-15,39840.01,45816.01,20,11,-3104.3500000000004,5976.0,0.0,1
2023-08-16,13336.55,15337.05,12,9,-2550.42,2000.5,2738.26,1
2023-08-17,50760.990000000005,58375.2,43,18,-9804.48,7614.21,0.0,1
2023-08-18,3150.46,3623.0299999999997,2,2,-673.89,472.57,0.0,1
2023-08-19,29682.22,34134.6,24,15,-5902.92,4452.38,0.0,1
2023-08-20,19134.55,22004.73,16,12,-945.89,2870.1800000000003,2086.08,1
2023-08-21,10495.67,12070.04,7,4,-804.34,1574.37,0.0,1
2023-08-22,16935.38,19475.7,15,10,-2394.2,2540.32,0.0,1
2023-08-23,36733.97,42244.08,27,19,-1589.79,5510.11,12784.36,1
2023-08-24,6540.85,7522.02,7,5,-1934.81,981.1700000000001,1368.71,1
2023-08-25,12384.34,14242.02,10,7,-521.76,1857.6799999999998,0.0,1
2023-08-26,28422.0,32685.34,26,16,-10691.14,4263.34,0.0,1
2023-08-27,92272.55,106113.46,64,18,-26402.37,13840.91,0.0,1
2023-08-28,122959.08,141402.95,134,29,-17320.27,18443.87,4346.97,1
2023-08-29,13073.41,15034.43,10,18,-3323.96,1961.02,10838.31,1
2023-08-30,55838.74,64214.6,42,20,-10182.2,8375.86,0.0,1
2023-08-31,26550.39,30532.95,21,13,-4671.34,3982.56,0.0,1
2023-09-02,19449.54,22367.010000000002,17,12,-824.81,2917.47,0.0,1
2023-09-03,32543.45,37424.96,22,10,-6265.32,4881.51,0.0,1
2023-09-04,32330.11,37179.61,25,19,-3563.79,4849.5,0.0,1
2023-09-05,41474.54,47695.729999999996,23,18,-3976.4100000000003,6221.19,0.0,1
2023-09-06,30113.07,34629.99,24,11,-1221.72,4516.92,0.0,1
2023-09-07,23657.07,27205.6,15,12,-3486.14,3548.5299999999997,0.0,1
2023-09-08,11905.78,13691.66,10,6,-2045.1399999999999,1785.88,0.0,1
2023-09-09,9864.33,11343.95,9,4,-391.33,1479.62,0.0,1
2023-09-10,60568.17,69653.43,58,21,-12072.529999999999,9085.26,3477.39,1
2023-09-11,37356.16,42959.55,27,21,-9138.060000000001,5603.39,11562.34,1
2023-09-12,11894.310000000001,13678.45,8,5,-1263.94,1784.14,0.0,1
2023-09-13,5561.73,6396.0,1,9,-3260.88,834.2700000000001,10344.34,1
2023-09-14,4563.5,5248.02,6,4,-1884.3300000000002,684.52,0.0,1
2023-09-16,7759.13,8923.03,9,6,-365.22,1163.8999999999999,0.0,1
2023-09-17,18094.81,20809.03,13,12,-1547.78,2714.22,433.91,1
2023-09-18,20083.4,23095.95,17,12,-4104.3,3012.55,0.0,1
2023-09-19,10910.619999999999,12547.2,13,10,-3983.3,1636.58,0.0,1
2023-09-20,81657.43000000001,93906.06,76,43,-24807.739999999998,12248.63,2607.9,1
2023-09-21,113917.7,131005.35,104,44,-27304.33,17087.65,4520.09,1
2023-09-22,27426.03,31539.92,19,17,-6671.24,4113.889999999999,0.0,1
2023-09-23,12340.4,14191.470000000001,15,10,-3205.18,1851.0700000000002,0.0,1
2023-09-24,41563.89,47798.44,40,33,-12394.61,6234.55,0.0,1
2023-09-25,77569.37,89204.71,76,38,-27692.97,11635.34,2041.74,1
2023-09-26,68943.61,79285.2,78,30,-11106.29,10341.59,1651.31,1
2023-09-27,38798.19,44617.89,45,20,-15067.06,5819.7,0.0,1
2023-09-28,49296.479999999996,56690.87,48,34,-30579.86,7394.39,10430.64,1
2023-09-29,4475.66,5146.99,5,5,-2041.72,671.3299999999999,0.0,1
2023-09-30,151752.49,174515.46,127,60,-42922.28,22762.97,3912.1800000000003,1
2023-10-01,13772.19,15838.02,11,10,-3392.0099999999998,2065.83,0.0,1
2023-10-02,69931.8,80421.55,47,21,-14127.31,10489.75,1912.0,1
2023-10-03,21009.47,24160.92,16,13,-2630.56,3151.4500000000003,0.0,1
2023-10-04,31846.010000000002,36622.94,17,15,-14861.17,4776.93,0.0,1
2023-10-05,14645.939999999999,16842.829999999998,7,6,-17435.23,2196.89,0.0,1
