origin_week_start,forecast_h1_week_start,forecast_h2_week_start,predicted_value_h1,predicted_value_h2,predicted_count_h1,predicted_count_h2,actual_value_h1,actual_value_h2,actual_count_h1,actual_count_h2,predicted_value_h1_index_52median,predicted_value_h2_index_52median,predicted_count_h1_index_52median,predicted_count_h2_index_52median,predicted_value_h1_change_vs_last,predicted_value_h2_change_vs_last,predicted_count_h1_change_vs_last,predicted_count_h2_change_vs_last
2022-12-25,2023-01-01,2023-01-08,11018956.519270593,11318952.769731836,156145.1971760466,156499.1252206575,11173805.999999987,10673810.000000017,157174.99999999994,155826.99999999994,1.0557414847172308,1.0844845409510637,1.0963674272737887,1.0988525192697505,-0.18115049001335604,-0.15885692870758172,-0.072623299602391,-0.07052125209708504
2023-01-01,2023-01-08,2023-01-15,10842022.969284346,10583376.237930415,156078.50673992286,154162.89545984296,10673810.000000017,9712989.000000013,155826.99999999994,144763.99999999997,1.032707474681656,1.0080712593251768,1.0957106724695347,1.0822625958078063,-0.029692929223547826,-0.052840523817004215,-0.006976257420563958,-0.019164018070030542
2023-01-08,2023-01-15,2023-01-22,10367367.58696842,12107327.653527193,145426.93066850133,157843.09446625185,9712989.000000013,10105443.999999987,144763.99999999997,141094.99999999994,0.9809902234659852,1.145630263495134,1.0202284261892076,1.107332810449104,-0.028709749661234407,0.13430233942024383,-0.06674112529599285,0.012938030419964663
2023-01-15,2023-01-22,2023-01-29,11288622.753126172,11328995.83562544,150582.04530500257,158332.78470164456,10105443.999999987,12020454.999999981,141094.99999999994,167916.00000000006,1.0681620444453312,1.071982261958671,1.0554310737803627,1.1097560843579541,0.16221924611735616,0.16637585357354356,0.04018986284575288,0.09373037980191601
2023-01-22,2023-01-29,2023-02-05,12974630.69436328,10843839.681379857,166460.838977509,152867.23635266186,12020454.999999981,10912251.999999994,167916.00000000006,160761.00000000012,1.2276969787635286,1.0260753873179462,1.1667256987282781,1.0714480008737561,0.2839248522245317,0.07306909833747599,0.17977843989871367,0.08343482301046712
2023-01-29,2023-02-05,2023-02-12,11190983.722261816,10494118.63746951,159268.83419697304,152785.7984356361,10912251.999999994,10347280.000000011,160761.00000000012,152195.0000000001,1.0562891982886236,0.9905138312611191,1.1130325358205455,1.0677265613677402,-0.06900498173639713,-0.12697825186571476,-0.051496973504770005,-0.090105776485647
2023-02-05,2023-02-12,2023-02-19,10567472.36422798,9646520.314350162,159577.4867125919,142923.5654992928,10347280.000000011,10399437.000000006,152195.0000000001,147813.0,0.9937035995840285,0.9071026286549945,1.1075270880114925,0.9919426829346168,-0.031595644581157045,-0.11599179396240467,-0.007361942805830357,-0.11095623006019617
2023-02-12,2023-02-19,2023-02-26,10183801.727301545,11592409.592880785,144553.77588446805,155994.46333744298,10399437.000000006,14574054.999999976,147813.0,182043.99999999988,0.9576254458091407,1.0900827315425514,0.9987754930489532,1.0778234333863719,-0.01579915424135181,0.12033400013151141,-0.05020680124532306,0.02496444257329733
2023-02-19,2023-02-26,2023-03-05,12033864.928263469,11047704.188438743,165039.8020320414,160025.4234216002,14574054.999999976,13209339.999999981,182043.99999999988,174654.00000000015,1.13159462205956,1.0388618054354524,1.1389320913827192,1.1043280949681706,0.1571650396327675,0.06233675808014838,0.11654456666221091,0.08262076692577924
2023-02-26,2023-03-05,2023-03-12,11104843.625664381,10503606.309322998,162387.54415831412,154791.6839068637,13209339.999999981,11999163.999999989,174654.00000000015,163254.9999999999,1.0442348655667972,0.9876980074743066,1.1173057665953214,1.0650425311040344,-0.23804022794861268,-0.27929417658139766,-0.10797640043992596,-0.14970180886563844
2023-03-05,2023-03-12,2023-03-19,10985461.422064766,10602627.619401561,152635.11075707534,146268.53289346126,11999163.999999989,11040363.999999993,163254.9999999999,146312.0,1.0330088579318222,0.9970093951807634,1.042845991890597,0.9993477418864014,-0.16835652484796615,-0.1973385786571047,-0.1260714855824926,-0.16252400235058306
2023-03-12,2023-03-19,2023-03-26,11001639.209487982,12194987.484812638,148591.97648764687,150967.24340634514,11040363.999999993,12704203.000000002,146312.0,150207.0000000001,1.0345301229081256,1.1467456495615644,1.0086751869316348,1.0247990238968812,-0.0831328574650716,0.01631976067771368,-0.08981668869163661,-0.07526726038194764
2023-03-19,2023-03-26,2023-04-02,12009550.506636556,12477932.624628762,149859.92683801244,151249.8153049746,12704203.000000002,12580793.000000019,150207.0000000001,153825.9999999999,1.1289870911462812,1.1730184947067006,1.0172823142268381,1.0267171844154295,0.08778573846265902,0.13021025616807225,0.024249048868257184,0.033748532621894256
2023-03-26,2023-04-02,2023-04-09,13478969.461503651,12359366.106239548,166669.0196113282,160670.07027735692,12580793.000000019,13039319.0,153825.9999999999,156734.0000000001,1.2671234044590785,1.161872359917592,1.1313861521058977,1.090663957786476,0.06098505049892955,-0.027143528307950637,0.10959555554220635,0.06965767425856928
2023-04-02,2023-04-09,2023-04-16,13242292.538686272,11829526.222530564,166197.0078908958,149702.7745602992,13039319.0,12003977.999999994,156734.0000000001,153692.00000000003,1.236840995440384,1.104887461587097,1.1260837252963192,1.0143254695338675,0.052580114678484335,-0.059715375451248276,0.08042208658416516,-0.0268044767445087
2023-04-09,2023-04-16,2023-04-23,11976103.896106215,12519940.047087107,148037.61686210588,148608.22181497255,12003977.999999994,10377590.00000001,153692.00000000003,155410.99999999988,1.11186616204568,1.162356122655442,1.0020687248673672,1.0059311578735315,-0.0815391589003831,-0.039831754473749204,-0.05548498180288974,-0.051844387210352894
2023-04-16,2023-04-23,2023-04-30,12886494.350276038,12754403.875270156,151074.77252040248,154534.0543176207,10377590.00000001,11592921.999999996,155410.99999999988,172577.00000000003,1.1919296481658772,1.1797120078115435,1.0138566037205723,1.0370717020174531,0.07351865775462407,0.0625147659609302,-0.017029041717184557,0.005478842865085376
2023-04-23,2023-04-30,2023-05-07,12417336.12608936,12295628.660898134,161175.99703286993,158375.44660479936,11592921.999999996,10890228.000000006,172577.00000000003,171463.99999999994,1.1528303345660706,1.1415309659743806,1.081645507233541,1.0628511281444155,0.19655296905055608,0.18482505677119,0.037095167220273506,0.019074882761190404
2023-04-30,2023-05-07,2023-05-14,11978900.579129815,12718391.351452019,169105.46278093974,165843.4061694288,10890228.000000006,10092015.000000011,171463.99999999994,160857.00000000003,1.1079822304341738,1.1763810479959909,1.122188979417952,1.1005418728166882,0.03329433072436916,0.09708245698987872,-0.020115874184046922,-0.0390179098638358
2023-05-07,2023-05-14,2023-05-21,12362301.526508005,11189836.849651145,171021.9570685081,163826.3619621154,10092015.000000011,10704997.000000007,160857.00000000003,163445.0000000001,1.1388541903305793,1.0308430479563326,1.1306564043693803,1.0830850525397853,0.1351738022847644,0.02751171505786143,-0.0025780509698355436,-0.044543682859869205
2023-05-14,2023-05-21,2023-05-28,10380848.294456165,11675596.251752343,154599.56991150885,162739.3266647356,10704997.000000007,13815211.999999994,163445.0000000001,188590.00000000006,0.956316471813716,1.0755927354954369,1.0186605822162773,1.0722936509116616,0.028619982675032185,0.1569142784421489,-0.03890057683837911,0.01170186354796865
