week_start,indicator,sector,city,value,week_end,source,data_status
2023-01-01,Number of Transactions (In Thousand),Total,ABHA,2409.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,ABHA,-5.3809897879025925,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,ABHA,142628.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Total,ABHA,-16.077480700433064,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Total,BURAIDAH,3584.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,BURAIDAH,-9.722921914357682,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,BURAIDAH,251224.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Total,BURAIDAH,-22.373320231992608,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Total,DAMMAM,6986.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,DAMMAM,-7.81208762206387,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,DAMMAM,595496.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions Change %,Total,DAMMAM,-17.20471220275875,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions (In Thousand),Total,HAIL,2771.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Number of Transactions Change %,Total,HAIL,-13.514357053682897,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
2023-01-01,Value of Transactions (In Thousand SAR),Total,HAIL,179109.0,2023-01-07,Saudi Central Bank (SAMA) weekly POS via KAPSARC Data Portal,REAL_OFFICIAL_AGGREGATE
