week_start,week_end,sector,value_thousand_sar,transaction_count_thousand
2020-05-10,2020-05-16,Beverage and Food,1290884.0,13408.0
2020-05-17,2020-05-23,Beverage and Food,1634985.0,14722.0
2020-05-24,2020-05-30,Beverage and Food,928311.0,11140.0
2020-05-31,2020-06-06,Beverage and Food,1280237.0,15033.0
2020-06-07,2020-06-13,Beverage and Food,1199517.0,15247.0
2020-06-14,2020-06-20,Beverage and Food,1132531.0,14890.0
2020-06-20,2020-06-26,Beverage and Food,1228892.0,14906.0
2020-06-28,2020-07-04,Beverage and Food,1526675.0,16682.0
2020-07-05,2020-07-11,Beverage and Food,1095516.0,16144.0
2020-07-12,2020-07-18,Beverage and Food,1036837.0,15688.0
2020-07-19,2020-07-25,Beverage and Food,1055584.0,15403.0
2020-07-26,2020-08-01,Beverage and Food,1395257.0,17289.0
2020-08-02,2020-08-08,Beverage and Food,1049820.0,15600.0
2020-08-09,2020-08-15,Beverage and Food,1093352.0,16672.0
2020-08-16,2020-08-22,Beverage and Food,1053449.0,16209.0
2020-08-23,2020-08-29,Beverage and Food,1426158.0,17849.0
2020-08-30,2020-09-05,Beverage and Food,1333597.0,18446.0
2020-09-06,2020-09-12,Beverage and Food,1174491.0,18214.0
2020-09-13,2020-09-19,Beverage and Food,1104794.0,17578.0
2020-09-20,2020-09-26,Beverage and Food,1150368.0,17314.0
2020-09-27,2020-10-03,Beverage and Food,1573618.0,19771.0
2020-10-04,2020-10-10,Beverage and Food,1180227.0,18577.0
2020-10-11,2020-10-17,Beverage and Food,1127164.0,18620.0
2020-10-18,2020-10-24,Beverage and Food,1081421.0,17702.0
2020-10-25,2020-10-31,Beverage and Food,1553257.0,20120.0
2020-11-01,2020-11-07,Beverage and Food,1258059.0,19434.0
2020-11-08,2020-11-14,Beverage and Food,1159765.0,19376.0
2020-11-15,2020-11-21,Beverage and Food,1098880.0,18601.0
2020-11-22,2020-11-28,Beverage and Food,1418521.0,19913.0
2020-11-29,2020-12-05,Beverage and Food,1388083.0,20564.0
2020-12-06,2020-12-12,Beverage and Food,1192188.0,19851.0
2020-12-13,2020-12-19,Beverage and Food,1133184.0,19330.0
2020-12-20,2020-12-26,Beverage and Food,1145273.0,18795.0
2020-12-27,2021-01-02,Beverage and Food,1575745.0,21616.0
2021-01-03,2021-01-09,Beverage and Food,1206103.0,20006.0
2021-01-10,2021-01-16,Beverage and Food,1207682.0,20398.0
2021-01-17,2021-01-23,Beverage and Food,1089383.0,18807.0
2021-01-24,2021-01-30,Beverage and Food,1572440.0,21625.0
2021-01-31,2021-02-06,Beverage and Food,1404798.0,21736.0
2021-02-07,2021-02-13,Beverage and Food,1257578.0,21495.0
2021-02-14,2021-02-20,Beverage and Food,1168820.0,20834.0
