date,gross_sales_sar,return_value_sar,sama_calibrated_net_sales_sar,base_net_sales_sar_unscaled,scenario_net_sales_sar,transaction_rows,invoice_count,electronic_invoice_count,unique_observed_customers,new_observed_customers,returning_observed_customers,unique_products,units,average_invoice_value_sar,return_rate_value,sama_weekly_market_index
2023-01-01,176614.43,6939.97,169674.46,279388.02,279388.02,3156,154,108,114,114,0,1336,26696.0,1101.78,0.039294,0.9376134696462718
2023-01-02,202923.52,1784.83,201138.69,335281.55,335281.55,3223,127,92,98,95,3,1393,32063.0,1583.77,0.008796,0.9376134696462718
2023-01-03,237718.44,12541.3,225177.14,377855.27,377855.27,2969,137,97,116,102,14,1328,51616.0,1643.63,0.052757,0.9376134696462718
2023-01-04,129896.67,1019.21,128877.46,213063.6,213063.6,2497,100,73,82,72,10,1252,21296.0,1288.77,0.007846,0.9376134696462718
2023-01-05,30365.23,0.0,30365.23,53554.53,53554.53,400,30,22,26,25,1,285,5119.0,1012.17,0.0,0.9376134696462719
2023-01-06,81422.62,842.34,80580.28,131050.55,131050.55,1901,90,61,63,58,5,976,11587.0,895.34,0.010345,0.9376134696462717
2023-01-07,145285.93,1287.77,143998.16,232284.59,232284.59,2831,114,79,87,67,20,1346,18096.0,1263.14,0.008864,0.9376134696462718
2023-01-08,146531.4,18095.45,128435.95,234752.87,234752.87,2410,160,110,131,91,40,1188,26980.0,802.72,0.123492,0.8956579368252027
2023-01-09,123316.75,920.66,122396.09,211143.79,211143.79,2434,97,76,77,56,21,1299,17921.0,1261.82,0.007466,0.8956579368252028
2023-01-10,134579.52,3059.95,131519.57,224612.38,224612.38,2438,117,91,97,64,33,1223,24010.0,1124.1,0.022737,0.8956579368252027
2023-01-11,125673.77,3622.85,122050.92,208836.57,208836.57,1510,117,79,93,45,48,873,21626.0,1043.17,0.028827,0.8956579368252028
2023-01-12,65995.38,649.58,65345.8,118304.27,118304.27,1733,77,60,63,41,22,978,12584.0,848.65,0.009843,0.8956579368252029
2023-01-13,220940.43,1680.71,219259.72,379454.47,379454.47,4064,110,76,81,45,36,1586,45533.0,1993.27,0.007607,0.8956579368252027
