SAMAWeekStart,ProductCategoryCOICOP,BaseNetSalesSAR,SAMASector,BaseWeekTotal,BaseCategoryShare,SAMASectorShareMapped,BlendedTargetShare,SAMATargetCategoryWeeklySAR,SAMACalibrationFactor
2023-01-01,Clothing and footwear,139715.93,Clothing and Footwear,1622478.1099999999,0.08611267488841498,0.13184141055257736,0.10211773237087182,100056.11942210248,0.7161396658355457
2023-01-01,Education,32394.75,Education,1622478.1099999999,0.019966216986434412,0.019482738350619668,0.01979699946389925,19397.325974349693,0.5987799249677708
2023-01-01,Food and non-alcoholic beverages,270123.1,Beverage and Food,1622478.1099999999,0.16648797807201232,0.26660472800172225,0.2015288405474108,197460.2575738476,0.7310010050004891
2023-01-01,Furniture and household equipment,352381.29,Furniture,1622478.1099999999,0.21718708426827404,0.04731696666457999,0.15773254310698112,154548.14559088013,0.4385821551163518
2023-01-01,Information and communication,5132.0199999999995,Electronic & Electric Devices,1622478.1099999999,0.0031630750321802494,0.03582782781560091,0.01459573850637748,14301.071137616145,2.786635893394053
2023-01-01,Other retail goods,723720.7,Other,1622478.1099999999,0.44605883773680005,0.26399154743346426,0.3823352861306325,374616.4761026576,0.5176257582554398
2023-01-01,Personal care and miscellaneous goods,25726.34,Miscellaneous Goods and Services,1622478.1099999999,0.015856201597690585,0.18839482158152773,0.07624471859203358,74705.44528978536,2.903850500684721
2023-01-01,Recreation and culture,73283.98,Recreation and Culture,1622478.1099999999,0.04516793141819337,0.04653995959990778,0.04564814128179341,44726.5697097572,0.610318513128752
2023-01-08,Clothing and footwear,155864.81,Clothing and Footwear,1645498.88,0.09472191801187978,0.1258583379004154,0.10561966497286723,98856.58859139595,0.6342457196810233
2023-01-08,Education,35598.49,Education,1645498.88,0.021633858541429088,0.026426413283959116,0.023311252701314598,21818.57818272689,0.6129074065424374
2023-01-08,Food and non-alcoholic beverages,297520.73,Beverage and Food,1645498.88,0.18080883166568915,0.2597845796079703,0.20845034344548755,195102.7760693942,0.6557619567194334
2023-01-08,Furniture and household equipment,354171.0,Furniture,1645498.88,0.21523624494961674,0.04571723744417136,0.15590459232271087,145921.65338447905,0.41200903909263903
2023-01-08,Information and communication,4135.03,Electronic & Electric Devices,1645498.88,0.00251293394985477,0.03481459304563535,0.01381851463337797,12933.682533522118,3.1278328170586716
2023-01-08,Other retail goods,711171.84,Other,1645498.88,0.43219223582820065,0.2700660676909529,0.37544807698016397,351407.25065728504,0.49412424802602567
2023-01-08,Personal care and miscellaneous goods,28813.38,Miscellaneous Goods and Services,1645498.88,0.017510422128029647,0.1955060907136882,0.07980890613301014,74698.55354632207,2.592495345784565
2023-01-08,Recreation and culture,58223.6,Recreation and Culture,1645498.88,0.03538355492530022,0.04182668031320734,0.03763864881106772,35228.55731087203,0.6050563227088677
2023-01-15,Clothing and footwear,80624.96,Clothing and Footwear,985910.79,0.08177713523147465,0.10956697696545449,0.09150357983836759,77934.9655886309,0.9666357116782557
2023-01-15,Education,16337.85,Education,985910.79,0.016571326904739524,0.022848818957244672,0.018768449123116326,15985.36843198697,0.9784254618561787
2023-01-15,Food and non-alcoholic beverages,228066.3,Beverage and Food,985910.79,0.23132549345565026,0.2689307494149892,0.2444873330414189,208233.51306141695,0.9130393796076709
2023-01-15,Furniture and household equipment,180226.48,Furniture,985910.79,0.18280201599173085,0.04687637996127388,0.13522804338107092,115175.74422921793,0.6390611647590183
2023-01-15,Information and communication,1689.2,Electronic & Electric Devices,985910.79,0.0017133396014460903,0.036163241950674295,0.013770805423675961,11728.800651490053,6.943405547886605
2023-01-15,Other retail goods,417581.87,Other,985910.79,0.4235493456766002,0.2735024799411612,0.37103294266919656,316014.2987875496,0.7567720763057784
2023-01-15,Personal care and miscellaneous goods,23504.33,Miscellaneous Goods and Services,985910.79,0.023840219864111643,0.19674898750269962,0.08435828853761743,71849.2142701758,3.056850132302252
2023-01-15,Recreation and culture,37879.8,Recreation and Culture,985910.79,0.03842112327424675,0.04536236530650262,0.0408505579855363,34793.030354690214,0.9185114587376441
2023-01-22,Clothing and footwear,127269.66,Clothing and Footwear,1084493.25,0.11735403609012782,0.10569094283766778,0.1132719534517668,100373.52031881311,0.7886680951203383
2023-01-22,Education,14503.81,Education,1084493.25,0.013373813068914905,0.029022275459059457,0.0188507749054655,16704.211239764758,1.1517119460172711
2023-01-22,Food and non-alcoholic beverages,178176.08,Beverage and Food,1084493.25,0.16429431902872607,0.28602403106213553,0.2068997182404194,183339.76275605158,1.0289807855019124
2023-01-22,Furniture and household equipment,221109.07,Furniture,1084493.25,0.20388238469902878,0.04210779766652895,0.14726127923765386,130492.43482879573,0.5901722386548671
2023-01-22,Information and communication,1099.9499999999998,Electronic & Electric Devices,1084493.25,0.001014252509178826,0.03437396337571205,0.012690151312465455,11245.10632857543,10.223288630006302
2023-01-22,Other retail goods,489289.82,Other,1084493.25,0.45116907827688185,0.2645500693320307,0.38585242514618395,341914.8787962367,0.6987982680617322
2023-01-22,Personal care and miscellaneous goods,10713.92,Miscellaneous Goods and Services,1084493.25,0.009879194729888822,0.19443299736962677,0.0744730256537971,65992.6797929545,6.159527025864903
2023-01-22,Recreation and culture,42330.94,Recreation and Culture,1084493.25,0.03903292159725291,0.04379792289723876,0.040700672052247956,36066.03054625732,0.8520016457526651
2023-01-29,Clothing and footwear,107512.16,Clothing and Footwear,936693.6,0.11477836509185074,0.10940529733688598,0.11289779137761308,119000.20756354099,1.1068534718634708
2023-01-29,Education,19944.39,Education,936693.6,0.021292330811270622,0.028369665158789373,0.023769397832902182,25054.194960421763,1.2562026194043419
2023-01-29,Food and non-alcoholic beverages,138072.41,Beverage and Food,936693.6,0.14740402838238673,0.2716202951664383,0.1908797217568048,201197.26197969634,1.4571865731879117
2023-01-29,Furniture and household equipment,169736.31,Furniture,936693.6,0.18120793181462969,0.045324436785079456,0.13364870855428712,140872.7652196841,0.8299506759613433
2023-01-29,Information and communication,2278.65,Electronic & Electric Devices,936693.6,0.0024326524703488957,0.03627413945902765,0.014277172916386461,15048.890857287868,6.604301168361911
2023-01-29,Other retail goods,455618.88,Other,936693.6,0.4864118640289632,0.2705202646140467,0.4108498042337424,433057.293545517,0.9504814496394817
2023-01-29,Personal care and miscellaneous goods,18812.58,Miscellaneous Goods and Services,936693.6,0.020084027477074683,0.19426380653907854,0.08104695014877603,85427.74639264352,4.540990464500005
2023-01-29,Recreation and culture,24718.22,Recreation and Culture,936693.6,0.026388799923475512,0.04422209494065397,0.03263045317948797,34394.213153947094,1.3914518583436466
2023-02-05,Clothing and footwear,98156.62,Clothing and Footwear,978956.3899999999,0.10026659103782959,0.11216317359140109,0.1044303949315796,99926.95948830059,1.0180358644001861
2023-02-05,Education,24491.79,Education,978956.3899999999,0.02501826460318626,0.021009058466497102,0.023615042455345053,22596.672092409848,0.9226223192510571
2023-02-05,Food and non-alcoholic beverages,177577.37,Beverage and Food,978956.3899999999,0.18139456651383623,0.27147295480265776,0.21292200241492376,203739.99661136873,1.1473308598464362
2023-02-05,Furniture and household equipment,190617.96,Furniture,978956.3899999999,0.19471547654947122,0.04769640461914643,0.14325880137385755,137080.9375049007,0.7191396734331892
2023-02-05,Information and communication,1183.6,Electronic & Electric Devices,978956.3899999999,0.0012090426213980788,0.03785246704411642,0.014034241169349497,13429.031362923095,11.345920380975917
2023-02-05,Other retail goods,421243.23,Other,978956.3899999999,0.43029825874061667,0.2765415033680594,0.3764833943602216,360247.9998366383,0.8552018743105695
2023-02-05,Personal care and miscellaneous goods,16961.27,Miscellaneous Goods and Services,978956.3899999999,0.01732586882649594,0.1902528542112616,0.07785031371116391,74493.11236890194,4.391953690313398
2023-02-05,Recreation and culture,48724.549999999996,Recreation and Culture,978956.3899999999,0.04977193110716607,0.043011583896860245,0.047405809583559035,45361.490942077224,0.9309781402204275
2023-02-12,Clothing and footwear,80411.81999999999,Clothing and Footwear,750804.7999999999,0.10710083366542142,0.1197119755716626,0.11151473333260584,101181.19809078427,1.2582876260080207
2023-02-12,Education,10913.33,Education,750804.7999999999,0.01453550909637232,0.020146574190209016,0.016499381879215163,14970.463331666697,1.3717594292179103
2023-02-12,Food and non-alcoholic beverages,125055.38,Beverage and Food,750804.7999999999,0.16656177477821135,0.2628927625565466,0.2002776205006287,181718.85442782054,1.4531070508747448
2023-02-12,Furniture and household equipment,146857.13999999998,Furniture,750804.7999999999,0.1955996285585814,0.05156185071872454,0.1451864063146315,131732.67870887305,0.897012421111245
2023-02-12,Information and communication,398.40999999999997,Electronic & Electric Devices,750804.7999999999,0.0005306439170340946,0.03932876227743701,0.014109985343175112,12802.480707259405,32.13393415642029
2023-02-12,Other retail goods,328199.57,Other,750804.7999999999,0.4371303566519554,0.27830749197473154,0.3815423540149271,346186.6548742467,1.0548053273630025
2023-02-12,Personal care and miscellaneous goods,15660.34,Miscellaneous Goods and Services,750804.7999999999,0.020858071232362926,0.18373082727178366,0.07786353584616018,70648.2956023504,4.51128746900453
2023-02-12,Recreation and culture,43308.81,Recreation and Culture,750804.7999999999,0.05768318210006116,0.04431975543890503,0.053005982768656514,48094.172691206004,1.1104939778120435
2023-02-19,Clothing and footwear,76226.79,Clothing and Footwear,574481.3,0.13268802657284057,0.11766187304552309,0.12742887283827947,116203.45369492615,1.5244437512707298
2023-02-19,Education,9299.3,Education,574481.3,0.01618729800256335,0.012546624358156804,0.014913062227021061,13599.346030051507,1.4624053455691834
