C,margin,mean_guard,max_guard,min_guard,precision,recall,f1,npv,alert_rate,tp,fp,fn,tn,worst_fold_recall,passes_v11_contract,preserves_selected_or_better
0.2,0.0,0.4,0.8,0.2,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.4,0.8,0.25,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.4,0.8,0.3,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.4,0.85,0.2,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.4,0.85,0.25,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.4,0.85,0.3,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.4,0.9,0.2,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.4,0.9,0.25,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.4,0.9,0.3,0.4369747899159664,0.8253968253968254,0.5714285714285714,0.9580152671755725,0.3123359580052493,52,67,11,251,0.6,True,False
0.2,0.0,0.45,0.8,0.2,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
0.2,0.0,0.45,0.8,0.25,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
0.2,0.0,0.45,0.8,0.3,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
0.2,0.0,0.45,0.85,0.2,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
0.2,0.0,0.45,0.85,0.25,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
0.2,0.0,0.45,0.85,0.3,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
0.2,0.0,0.45,0.9,0.2,0.4482758620689655,0.8253968253968254,0.5810055865921788,0.9584905660377359,0.30446194225721784,52,64,11,254,0.6,True,True
0.2,0.0,0.45,0.9,0.25,0.4482758620689655,0.8253968253968254,0.5810055865921788,0.9584905660377359,0.30446194225721784,52,64,11,254,0.6,True,True
0.2,0.0,0.45,0.9,0.3,0.4482758620689655,0.8253968253968254,0.5810055865921788,0.9584905660377359,0.30446194225721784,52,64,11,254,0.6,True,True
0.2,0.0,0.5,0.8,0.2,0.4444444444444444,0.8253968253968254,0.5777777777777777,0.9583333333333334,0.30708661417322836,52,65,11,253,0.6,True,True
