model,roc_auc,pr_auc,op_threshold,op_accuracy,op_balanced_accuracy,op_precision,op_recall,op_f1,op_npv,op_alert_rate,op_tp,op_fp,op_fn,op_tn
logistic_c0.1,0.5070476398601399,0.23535918365897207,0.08,0.43714285714285717,0.4918597027972028,0.178743961352657,0.578125,0.2730627306273063,0.8111888111888111,0.5914285714285714,37,170,27,116
logistic_c0.3,0.5044798951048952,0.2229480183610265,0.07,0.5142857142857142,0.5087412587412588,0.18823529411764706,0.5,0.27350427350427353,0.8222222222222222,0.4857142857142857,32,138,32,148
logistic_c1.0,0.49907124125874125,0.21125441361010805,0.05,0.5542857142857143,0.5150240384615384,0.19333333333333333,0.453125,0.27102803738317754,0.825,0.42857142857142855,29,121,35,165
logistic_c3.0,0.49890734265734266,0.20641838149395367,0.055,0.5914285714285714,0.5134943181818181,0.1937984496124031,0.390625,0.25906735751295334,0.8235294117647058,0.36857142857142855,25,104,39,182
extra_leaf3_mf0.8,0.5703671328671328,0.20409001528302856,0.07,0.45714285714285713,0.5647399475524475,0.21363636363636362,0.734375,0.33098591549295775,0.8692307692307693,0.6285714285714286,47,173,17,113
extra_leaf3_mf0.5,0.5550699300699301,0.2018772845343392,0.05,0.36,0.5356206293706294,0.19696969696969696,0.8125,0.3170731707317073,0.8604651162790697,0.7542857142857143,52,212,12,74
extra_leaf5_mf0.8,0.5499344405594406,0.19649395660262242,0.055,0.34,0.5537041083916083,0.20284697508896798,0.890625,0.33043478260869563,0.8985507246376812,0.8028571428571428,57,224,7,62
extra_leaf8_mf0.8,0.5443072552447552,0.19596279574695963,0.05,0.3,0.5474213286713286,0.19933554817275748,0.9375,0.3287671232876712,0.9183673469387755,0.86,60,241,4,45
extra_leaf8_mf0.5,0.5455638111888111,0.19430787752221396,0.13,0.4228571428571429,0.5740821678321678,0.21487603305785125,0.8125,0.33986928104575165,0.8888888888888888,0.6914285714285714,52,190,12,96
extra_leaf5_mf0.5,0.5469842657342657,0.1908739320812936,0.09,0.43142857142857144,0.5793269230769231,0.2175732217573222,0.8125,0.3432343234323432,0.8918918918918919,0.6828571428571428,52,187,12,99
hist_l2_5.0,0.5183566433566433,0.18583787451046152,0.055,0.6142857142857143,0.521416083916084,0.20168067226890757,0.375,0.26229508196721313,0.8268398268398268,0.34,24,95,40,191
hist_l2_10.0,0.5208697552447552,0.1857688523037615,0.075,0.64,0.5371503496503496,0.21818181818181817,0.375,0.27586206896551724,0.8333333333333334,0.3142857142857143,24,86,40,200
hist_l2_1.0,0.5068837412587412,0.1810672236351808,0.065,0.6857142857142857,0.4923513986013986,0.17142857142857143,0.1875,0.1791044776119403,0.8142857142857143,0.2,12,58,52,228
