feature,standardized_mean_difference,abs_smd,external_at_source_clip_boundary_share
calendar__year_sin,-2.197593398849849,2.197593398849849,0.1
merchant__new_customer_share,-1.8921577236338387,1.8921577236338387,0.95
merchant__new_observed_customers__ratio_mean_28,-1.640554276269583,1.640554276269583,0.9666666666666667
merchant__new_observed_customers__ratio_mean_56,-1.5149342483999406,1.5149342483999406,1.0
merchant__returning_customer_share,1.3624611323840474,1.3624611323840474,0.95
merchant__sales__drawdown28,-1.1200220490695867,1.1200220490695867,0.4166666666666667
merchant__new_observed_customers__ratio_mean_14,-0.794981672408993,0.794981672408993,0.5
calendar__national_day_window,0.6787846592900992,0.6787846592900992,1.0
merchant__sales__ma14_vs_ma56,-0.6772948129719756,0.6772948129719756,0.55
merchant__return_rate_value__change_28,-0.48284858599295954,0.48284858599295954,0.16666666666666666
merchant__new_observed_customers__change_28,-0.4791835595953725,0.4791835595953725,0.11666666666666667
merchant__return_rate_value__change_1,-0.4384179433748082,0.4384179433748082,0.21666666666666667
merchant__unique_products__ratio_mean_28,-0.4210655021282417,0.4210655021282417,0.38333333333333336
merchant__unique_products__ratio_mean_56,-0.41757196407529396,0.41757196407529396,0.36666666666666664
merchant__new_observed_customers__change_1,-0.41083088711124033,0.41083088711124033,0.05
merchant__new_observed_customers__change_14,-0.41023001318117314,0.41023001318117314,0.05
merchant__return_rate_value__change_7,-0.40509412215710966,0.40509412215710966,0.21666666666666667
merchant__new_observed_customers__change_7,-0.40202563086672927,0.40202563086672927,0.05
merchant__new_observed_customers__ratio_mean_7,-0.3979352664849158,0.3979352664849158,0.26666666666666666
merchant__gross_sales_sar__ratio_mean_56,-0.3685834989794446,0.3685834989794446,0.2
merchant__net_sales_sar__ratio_mean_56,-0.36727455164788586,0.36727455164788586,0.21666666666666667
merchant__unique_observed_customers__z_56,-0.36725182747234114,0.36725182747234114,0.03333333333333333
merchant__average_invoice_value_sar__ratio_mean_56,-0.36531879593081856,0.36531879593081856,0.11666666666666667
merchant__transaction_rows__ratio_mean_28,-0.33971369483750236,0.33971369483750236,0.25
merchant__return_rate_value__change_14,-0.32860957609151964,0.32860957609151964,0.23333333333333334
merchant__returning_observed_customers__ratio_mean_56,-0.3261622182749878,0.3261622182749878,0.08333333333333333
merchant__unique_observed_customers__ratio_mean_56,-0.31820646706611383,0.31820646706611383,0.08333333333333333
merchant__sales__ma7_vs_ma28,-0.3047712436008091,0.3047712436008091,0.43333333333333335
merchant__transaction_rows__ratio_mean_56,-0.29777694816534184,0.29777694816534184,0.23333333333333334
merchant__unique_products__ratio_mean_14,-0.29268024842367363,0.29268024842367363,0.36666666666666664
merchant__net_sales_sar__ratio_mean_28,-0.2858695534361964,0.2858695534361964,0.25
merchant__invoice_count__ratio_mean_28,-0.2823792664690662,0.2823792664690662,0.2
merchant__returning_observed_customers__change_28,-0.2803385481789426,0.2803385481789426,0.05
merchant__transaction_rows__ratio_mean_14,-0.2796778510096482,0.2796778510096482,0.23333333333333334
merchant__sales__vol7_vs_vol28,-0.2718585050146578,0.2718585050146578,0.08333333333333333
