date,future_ratio,target,score,prediction,risk_percentile_past_only,policy_prediction
2023-08-26,1.2411786289893574,0,0.0162362503997251,0,,0
2023-08-27,0.9647970758095348,0,0.0166538328162273,0,,0
2023-08-28,0.5871621199757674,1,0.0298903898766938,0,,0
2023-08-29,0.7003936322737943,1,0.1166937216293135,0,,0
2023-08-30,0.6305617358500333,1,0.0480471290818621,0,,0
2023-08-31,0.6461475781063301,1,0.0279651019595376,0,,0
2023-09-01,0.6986176597697653,1,0.6479939901038649,1,,1
2023-09-02,0.6795289550273017,1,0.3483164703032432,1,0.8571428571428571,1
2023-09-03,0.8411967845922541,1,0.3183673478887786,1,0.75,1
2023-09-04,0.9006845968474986,0,0.4952700895940208,1,0.8888888888888888,1
2023-09-05,0.7496452701906824,1,0.522731856686459,1,0.9,1
2023-09-06,0.6875322699850511,1,0.48800083857617,1,0.7272727272727273,1
2023-09-07,0.6515195648701607,1,0.4883078672284619,1,0.75,1
2023-09-08,0.5930986050955281,1,0.5551326384599642,1,0.9230769230769231,1
2023-09-09,0.5930815710895827,1,0.4308151536589812,1,0.5714285714285714,1
2023-09-10,0.3887280299235645,1,0.3895266196966374,1,0.5333333333333333,0
2023-09-11,0.3098196573960337,1,0.4078222084703115,1,0.5625,1
2023-09-12,0.3153803040654385,1,0.375570024031478,1,0.47058823529411764,0
2023-09-13,0.6799425121658826,1,0.4300624555469196,1,0.6111111111111112,1
2023-09-14,1.2693262225384183,0,0.5117017214684116,1,0.8421052631578947,1
2023-09-15,1.4128354701222288,0,0.6287295638604258,1,0.95,1
2023-09-16,1.4768281525646596,0,0.3597454353032221,1,0.38095238095238093,0
2023-09-17,1.6008455952389866,0,0.2962440575175792,1,0.2727272727272727,0
2023-09-18,1.8763459059295728,0,0.2935805462243266,1,0.2608695652173913,0
2023-09-19,2.1913089065726763,0,0.2735750754516338,1,0.25,0
2023-09-20,1.861315350818474,0,0.2593894089729472,1,0.24,0
2023-09-21,1.3659150007518328,0,0.210359857525788,0,0.23076923076923078,0
2023-09-22,1.2464281594927633,0,0.3785321949635243,1,0.5555555555555556,1
2023-09-23,1.8715250175171556,0,0.3895261643691499,1,0.5714285714285714,1
2023-09-24,1.8529044350322128,0,0.04606310845782,0,0.13793103448275862,0
2023-09-25,1.9175761461257463,0,0.0542229662741196,0,0.2,0
2023-09-26,1.5794617464261718,0,0.0356689835261532,0,0.12903225806451613,0
2023-09-27,1.578430685740388,0,0.0262775895727587,0,0.0625,0
2023-09-28,1.382278609296257,0,0.1361047579228967,0,0.30303030303030304,0
2023-09-29,1.4011394999910975,0,0.0976987509381179,0,0.2647058823529412,0
2023-09-30,0.6987558317055014,1,0.0464776994881443,0,0.2,0
2023-10-01,0.8526999801925303,0,0.3335877842823348,1,0.5277777777777778,0
2023-10-02,0.5951360277895128,1,0.4359870479429477,1,0.7837837837837838,1
2023-10-03,0.6274794779507257,1,0.4310213262835554,1,0.7631578947368421,1
2023-10-04,0.5776150839302426,1,0.4819074145253966,1,0.7948717948717948,1
2023-10-05,0.594449344211931,1,0.4834027985297687,1,0.8,1
2023-10-06,0.6111688530814513,1,0.4498809681422016,1,0.7560975609756098,1
2023-10-07,0.5946748760157335,1,0.5496202429314287,1,0.9285714285714286,1
2023-10-08,0.5203533693169274,1,0.4987149755388542,1,0.8604651162790697,1
2023-10-09,0.9414409286798576,0,0.5433848219915415,1,0.9090909090909091,1
2023-10-10,0.9243094137473838,0,0.5553885280043253,1,0.9555555555555556,1
2023-10-11,0.8856082698724933,0,0.584013982635596,1,0.9565217391304348,1
2023-10-12,0.8914222996790825,0,0.5093239764138155,1,0.8085106382978723,1
2023-10-13,0.8267116945359024,1,0.4928843844126881,1,0.75,1
2023-10-14,0.8032101273624818,1,0.4932469912806695,1,0.7551020408163265,1
2023-10-15,0.7064808565841993,1,0.3747124707950835,1,0.44,0
2023-10-16,0.2890941740138131,1,0.2869543190825371,1,0.3137254901960784,0
2023-10-17,0.2877196934420569,1,0.4249945691301142,1,0.5576923076923077,1
2023-10-18,0.3203089406881848,1,0.3772936759534612,1,0.4716981132075472,0
2023-10-19,0.3984540179173764,1,0.3872862411007785,1,0.5,0
2023-10-20,0.4248282700722,1,0.630834549823514,1,0.9818181818181818,1
2023-10-21,0.4531787621731598,1,0.427474533526661,1,0.5714285714285714,1
2023-10-22,0.64138316748057,1,0.3331942226529437,1,0.3508771929824561,0
2023-10-23,1.0444680917815323,0,0.2472277002340734,1,0.2413793103448276,0
2023-10-24,1.150966962107774,0,0.0151530271039513,0,0.0,0
