date,net_sales,gross_total,vat,discount,quantity,line_items,transactions,customers,products,families,classes,return_line_share,baseline28_daily,future7_sales,future_ratio,target,mean7,recent7_28,simple_risk
2023-07-01,1303.48,1499.01,195.53,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,242280.10000000003,,,,,
2023-07-02,53558.47,61592.240000000005,8033.77,-4773.06,43.0,10.0,4.0,2.0,10.0,2.0,5.0,0.0,,231875.79,,,,,
2023-07-03,12614.94,14507.17,1892.23,-4436.36,11.0,11.0,9.0,4.0,9.0,4.0,7.0,0.0,,239886.16,,,,,
2023-07-04,40791.51,46910.26,6118.75,-3700.92,33.0,32.0,21.0,4.0,27.0,6.0,12.0,0.0,,265742.65,,,,,
2023-07-05,53910.1,61996.6,8086.5,-8842.02,45.0,31.0,19.0,4.0,27.0,5.0,10.0,0.0,,230090.84000000003,,,,,
2023-07-06,58545.9,67327.82,8781.92,-2023.75,49.0,25.0,14.0,4.0,25.0,5.0,9.0,0.04,,207860.61,,,,,
2023-07-07,6433.04,7398.0,964.96,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,,214553.44,,,32451.062857142857,,
2023-07-08,16426.14,18890.07,2463.93,-1304.36,13.0,9.0,6.0,2.0,9.0,4.0,5.0,0.0,,230383.19999999998,,,34611.44285714286,,
2023-07-09,43154.16,49627.29,6473.13,-5308.64,46.0,26.0,17.0,4.0,23.0,6.0,11.0,0.0,,252274.27000000002,,,33125.112857142856,,
2023-07-10,20625.31,23719.13,3093.82,-6692.13,21.0,16.0,10.0,4.0,15.0,5.0,8.0,0.0,,286404.14,,,34269.45142857143,,
2023-07-11,66648.0,76645.19,9997.19,-13362.5,68.0,35.0,17.0,4.0,30.0,4.0,10.0,0.02857142857142857,,277636.42000000004,,,37963.235714285714,,
2023-07-12,18258.29,20997.05,2738.7599999999998,-2408.71,17.0,17.0,12.0,3.0,14.0,5.0,9.0,0.0,,305373.88,,,32870.12,,
2023-07-13,36315.67,41763.05,5447.38,-669.5699999999999,40.0,21.0,7.0,3.0,18.0,4.0,6.0,0.0,,345579.94999999995,,,29694.372857142855,,
2023-07-14,13125.87,15094.77,1968.8999999999999,-3043.5,8.0,8.0,3.0,1.0,5.0,2.0,3.0,0.0,,335452.34,,,30650.49142857143,,
2023-07-15,32255.9,37094.26,4838.36,-3513.0299999999997,18.0,18.0,15.0,3.0,18.0,4.0,10.0,0.0,,335194.72,,,32911.885714285716,,
