scenario_id,city,origin,event_week,trailing4_value,event_value,next_ratio,baseline_state,baseline_score,injected_state,injected_reason,injected_score,precursor_count,ood_fraction,score_lift,alerted,red
1,ABHA,2025-08-10,2025-08-17,243741.19,158431.7735,0.65,AMBER,0.5379343781691571,AMBER,MODEL_EARLY_WARNING,0.7732568063133435,5,0.0,0.23532242814418636,1,0
2,BURAIDAH,2025-08-24,2025-08-31,307910.4575,200141.79737500002,0.65,GREEN,0.008849022694325514,GREEN,LOW_OBSERVED_RISK,0.06441149715061491,4,0.0,0.055562474456289396,0,0
3,DAMMAM,2025-09-07,2025-09-14,656542.4500000001,426752.5925000001,0.65,GREEN,0.06542426351996411,AMBER,HIGH_PRECURSOR_FALLBACK,0.31723388781962936,7,0.0,0.25180962429966525,1,0
4,HAIL,2025-09-21,2025-09-28,188296.5025,122392.72662500001,0.65,GREEN,0.015007268154085608,GREEN,LOW_OBSERVED_RISK,0.13389669168932325,7,0.0,0.11888942353523764,0,0
5,JEDDAH,2025-10-05,2025-10-12,1736882.6825,1128973.7436250001,0.65,GREEN,0.00988821679777485,GREEN,LOW_OBSERVED_RISK,0.12477917974093684,7,0.0,0.11489096294316199,0,0
6,KHOBAR,2025-10-19,2025-10-26,358982.0675,233338.34387500002,0.65,GREEN,0.009846964662673997,GREEN,LOW_OBSERVED_RISK,0.050213821521646836,7,0.0,0.04036685685897284,0,0
7,MADINA,2025-11-02,2025-11-09,485179.3375,315366.569375,0.65,GREEN,0.013671994866940007,GREEN,LOW_OBSERVED_RISK,0.08455075194676308,4,0.0,0.07087875707982307,0,0
8,MAKKAH,2025-11-23,2025-11-30,514326.6975,334312.353375,0.65,GREEN,0.005926763841838967,GREEN,LOW_OBSERVED_RISK,0.04729651206829911,5,0.0,0.04136974822646014,0,0
9,OTHER,2025-12-07,2025-12-14,3691694.5675,2399601.468875,0.6499999999999999,GREEN,0.07733931924403953,AMBER,HIGH_PRECURSOR_FALLBACK,0.36873751954681316,7,0.0,0.29139820030277364,1,0
10,RIYADH,2025-12-21,2025-12-28,4290556.539999999,2788861.7509999997,0.65,GREEN,0.018486633947713476,GREEN,LOW_OBSERVED_RISK,0.06631871352182657,7,0.0,0.04783207957411309,0,0
11,TABOUK,2026-01-04,2026-01-11,231070.62,150195.903,0.65,AMBER,0.27918970306380364,AMBER,MODEL_EARLY_WARNING,0.5070597835270906,5,0.0,0.22787008046328694,1,0
12,ABHA,2026-01-18,2026-01-25,143846.7075,93500.359875,0.65,GREEN,0.07709673150239253,AMBER,HIGH_PRECURSOR_FALLBACK,0.2810527775723689,7,0.0,0.20395604606997636,1,0
13,BURAIDAH,2026-02-01,2026-02-08,336567.4525,218768.844125,0.65,GREEN,0.05497148959222569,AMBER,MODEL_EARLY_WARNING,0.2523215558630881,2,0.0,0.19735006627086238,1,0
14,DAMMAM,2026-02-15,2026-02-22,689413.855,448119.00575,0.65,GREEN,0.0582374145537994,AMBER,HIGH_PRECURSOR_FALLBACK,0.2845980252844478,7,0.0,0.22636061073064837,1,0
15,HAIL,2026-03-08,2026-03-15,215361.91999999998,139985.248,0.65,AMBER,0.2003670817025438,AMBER,HIGH_PRECURSOR_FALLBACK,0.4752635313010549,7,0.0,0.2748964495985111,1,0
16,JEDDAH,2026-03-22,2026-03-29,2030583.275,1319879.12875,0.65,AMBER,0.3360127934774561,AMBER,HIGH_PRECURSOR_FALLBACK,0.5992648016675978,7,0.0,0.26325200819014166,1,0
17,KHOBAR,2026-04-05,2026-04-12,364804.42,237122.873,0.65,GREEN,0.09545144380102631,AMBER,MODEL_EARLY_WARNING,0.43120909334662066,2,0.0,0.33575764954559434,1,0
18,MADINA,2026-04-19,2026-04-26,458036.03,297723.4195,0.65,AMBER,0.14908083133048244,AMBER,HIGH_PRECURSOR_FALLBACK,0.3224511971641983,7,0.057692307692307696,0.17337036583371584,1,0
19,MAKKAH,2026-05-03,2026-05-10,530007.2975,344504.743375,0.65,AMBER,0.5482535435678367,AMBER,HIGH_PRECURSOR_FALLBACK,0.7481918845492338,7,0.057692307692307696,0.19993834098139707,1,0
20,OTHER,2026-05-17,2026-05-24,3948987.2325,2566841.701125,0.65,GREEN,0.05512483107834274,AMBER,HIGH_PRECURSOR_FALLBACK,0.1770142869572676,7,0.0,0.12188945587892486,1,0
21,RIYADH,2026-05-31,2026-06-07,4395033.2475,2856771.610875,0.65,GREEN,0.08006193870172688,AMBER,HIGH_PRECURSOR_FALLBACK,0.21258476896505632,7,0.0,0.13252283026332945,1,0
22,TABOUK,2026-06-21,2026-06-28,211517.80250000002,137486.571625,0.65,GREEN,0.07748134595466301,AMBER,HIGH_PRECURSOR_FALLBACK,0.3347138375192829,7,0.019230769230769232,0.2572324915646199,1,0
