scenario_id,origin,injected_city,control_city,baseline_state,injected_state,baseline_score,injected_score,new_red,new_alert,score_change
1,2025-08-10,ABHA,BURAIDAH,GREEN,GREEN,0.11788738408630021,0.11188264502996799,0,0,-0.006004739056332226
1,2025-08-10,ABHA,DAMMAM,GREEN,GREEN,0.08501187100675613,0.08008268979725827,0,0,-0.004929181209497854
1,2025-08-10,ABHA,HAIL,AMBER,AMBER,0.6024253616591868,0.5997067533812372,0,0,-0.0027186082779495635
1,2025-08-10,ABHA,JEDDAH,GREEN,GREEN,0.09844083375155292,0.09293246382322339,0,0,-0.005508369928329537
1,2025-08-10,ABHA,KHOBAR,GREEN,GREEN,0.0912721084688733,0.08511270469833976,0,0,-0.0061594037705335475
1,2025-08-10,ABHA,MADINA,AMBER,AMBER,0.2859892889310696,0.279037563537275,0,0,-0.006951725393794628
1,2025-08-10,ABHA,MAKKAH,AMBER,AMBER,0.2982242557339102,0.2911412977618147,0,0,-0.007082957972095516
1,2025-08-10,ABHA,OTHER,AMBER,AMBER,0.2942794316178027,0.28718780334408384,0,0,-0.007091628273718842
1,2025-08-10,ABHA,RIYADH,GREEN,GREEN,0.07382801503294777,0.0695924520749905,0,0,-0.004235562957957267
1,2025-08-10,ABHA,TABOUK,AMBER,AMBER,0.4081414110059,0.400503026784453,0,0,-0.0076383842214470254
2,2025-08-24,BURAIDAH,ABHA,AMBER,AMBER,0.8188468463815924,0.8179288560564822,0,0,-0.0009179903251101962
2,2025-08-24,BURAIDAH,DAMMAM,GREEN,GREEN,0.008956907807935427,0.00877378026420435,0,0,-0.00018312754373107747
2,2025-08-24,BURAIDAH,HAIL,GREEN,GREEN,0.024469435708327558,0.023314586935139135,0,0,-0.001154848773188423
2,2025-08-24,BURAIDAH,JEDDAH,GREEN,GREEN,0.008723559723937666,0.008537365462702404,0,0,-0.0001861942612352615
2,2025-08-24,BURAIDAH,KHOBAR,GREEN,GREEN,0.011046343666052187,0.010620965760612553,0,0,-0.0004253779054396341
2,2025-08-24,BURAIDAH,MADINA,GREEN,GREEN,0.015186910368738782,0.014102534229306655,0,0,-0.001084376139432127
2,2025-08-24,BURAIDAH,MAKKAH,GREEN,GREEN,0.025805343384871896,0.02405456832197646,0,0,-0.001750775062895435
2,2025-08-24,BURAIDAH,OTHER,GREEN,GREEN,0.01657463682760094,0.014598345765943823,0,0,-0.0019762910616571167
2,2025-08-24,BURAIDAH,RIYADH,GREEN,GREEN,0.010053885555854701,0.009768787818572211,0,0,-0.00028509773728249005
2,2025-08-24,BURAIDAH,TABOUK,GREEN,GREEN,0.01584883813261468,0.01584909634140157,0,0,2.582087868900629e-07
3,2025-09-07,DAMMAM,ABHA,AMBER,AMBER,0.5945297571629258,0.5623894061127909,0,0,-0.03214035105013491
3,2025-09-07,DAMMAM,BURAIDAH,GREEN,GREEN,0.09000412574536588,0.07664104174564479,0,0,-0.013363083999721095
3,2025-09-07,DAMMAM,HAIL,AMBER,AMBER,0.2453482290231603,0.20981764119308033,0,0,-0.03553058783007998
3,2025-09-07,DAMMAM,JEDDAH,GREEN,GREEN,0.08508906055960985,0.06969922862207042,0,0,-0.015389831937539428
3,2025-09-07,DAMMAM,KHOBAR,GREEN,GREEN,0.08498753097930845,0.07265561129569471,0,0,-0.012331919683613732
3,2025-09-07,DAMMAM,MADINA,AMBER,AMBER,0.1982054495005536,0.17122218977828252,0,0,-0.026983259722271086
3,2025-09-07,DAMMAM,MAKKAH,GREEN,GREEN,0.15342719925595286,0.12524692761866232,0,0,-0.028180271637290533
3,2025-09-07,DAMMAM,OTHER,AMBER,AMBER,0.2221649106501958,0.19004747069603312,0,0,-0.03211743995416269
3,2025-09-07,DAMMAM,RIYADH,GREEN,GREEN,0.08873357139272209,0.07636883591106504,0,0,-0.01236473548165705
3,2025-09-07,DAMMAM,TABOUK,AMBER,AMBER,0.27432595022193657,0.2290757337525967,0,0,-0.045250216469339855
4,2025-09-21,HAIL,ABHA,GREEN,GREEN,0.0797284310642704,0.0784073546374728,0,0,-0.0013210764267976016
4,2025-09-21,HAIL,BURAIDAH,GREEN,GREEN,0.006834733843749825,0.006824319387911011,0,0,-1.0414455838814e-05
4,2025-09-21,HAIL,DAMMAM,GREEN,GREEN,0.007470486238053499,0.007514088515470883,0,0,4.360227741738443e-05
4,2025-09-21,HAIL,JEDDAH,GREEN,GREEN,0.007486588925847478,0.007474207556601196,0,0,-1.2381369246282532e-05
4,2025-09-21,HAIL,KHOBAR,GREEN,GREEN,0.008603881942242882,0.008601030240098385,0,0,-2.8517021444969537e-06
4,2025-09-21,HAIL,MADINA,GREEN,GREEN,0.010682085254888424,0.010342819271904268,0,0,-0.00033926598298415593
4,2025-09-21,HAIL,MAKKAH,GREEN,GREEN,0.01147609745701518,0.011302953628844809,0,0,-0.00017314382817037142
4,2025-09-21,HAIL,OTHER,GREEN,GREEN,0.01825977949305806,0.017864111090526696,0,0,-0.0003956684025313642
4,2025-09-21,HAIL,RIYADH,GREEN,GREEN,0.007177953001339654,0.007166632020290102,0,0,-1.1320981049551919e-05
4,2025-09-21,HAIL,TABOUK,GREEN,GREEN,0.03993554489982106,0.03948845628637766,0,0,-0.0004470886134433985
5,2025-10-05,JEDDAH,ABHA,AMBER,AMBER,0.19014621759347958,0.15963868224258193,0,0,-0.030507535350897647
5,2025-10-05,JEDDAH,BURAIDAH,GREEN,GREEN,0.01297587365916369,0.013502089230651179,0,0,0.0005262155714874893
5,2025-10-05,JEDDAH,DAMMAM,GREEN,GREEN,0.014134799888360638,0.013989190399527526,0,0,-0.00014560948883311255
5,2025-10-05,JEDDAH,HAIL,GREEN,GREEN,0.05914911747214078,0.058426944370843996,0,0,-0.000722173101296783
5,2025-10-05,JEDDAH,KHOBAR,GREEN,GREEN,0.013360637589765946,0.014961064002267913,0,0,0.0016004264125019669
5,2025-10-05,JEDDAH,MADINA,GREEN,GREEN,0.015008079818431018,0.015894605548132556,0,0,0.0008865257297015379
