scenario_id,city,origin,event_week,pattern,event_ratio,baseline_state,baseline_score,injected_state,injected_reason,injected_score,structural_core_count,precursor_count,ood_fraction,score_lift,alerted,red,ood_abstain
1,ABHA,2025-09-07,2025-09-14,balanced_gradual,0.7,AMBER,0.5945297571629257,AMBER,OOD_ABSTAIN,0.8052020534808569,6,7,0.15384615384615385,0.21067229631793127,1,0,1
2,BURAIDAH,2025-09-14,2025-09-21,balanced_gradual,0.7,GREEN,0.023993298646025535,AMBER,MODEL_EARLY_WARNING,0.22440339684527102,6,7,0.0,0.2004100981992455,1,0,0
3,DAMMAM,2025-09-21,2025-09-28,balanced_gradual,0.7,GREEN,0.007470486238053499,AMBER,STRUCTURAL_TREND_WARNING,0.0776375508813902,6,7,0.0,0.07016706464333669,1,0,0
4,HAIL,2025-09-28,2025-10-05,balanced_gradual,0.7,GREEN,0.02715692372985735,GREEN,LOW_OBSERVED_RISK,0.06207129965451253,0,1,0.0,0.03491437592465518,0,0,0
5,JEDDAH,2025-10-05,2025-10-12,balanced_gradual,0.7,GREEN,0.00988821679777485,AMBER,STRUCTURAL_TREND_WARNING,0.10943732706020892,6,7,0.0,0.09954911026243407,1,0,0
6,KHOBAR,2025-10-12,2025-10-19,balanced_gradual,0.7,GREEN,0.03194980821345393,AMBER,MODEL_EARLY_WARNING,0.29696068175054013,6,7,0.0,0.2650108735370862,1,0,0
7,MADINA,2025-10-26,2025-11-02,balanced_gradual,0.7,GREEN,0.007604844480502773,GREEN,LOW_OBSERVED_RISK,0.03794725604103782,1,2,0.0,0.030342411560535045,0,0,0
8,MAKKAH,2025-11-02,2025-11-09,balanced_gradual,0.7,GREEN,0.01142944097124574,GREEN,LOW_OBSERVED_RISK,0.05827158492060572,3,4,0.0,0.046842143949359975,0,0,0
9,OTHER,2025-11-09,2025-11-16,balanced_gradual,0.7,GREEN,0.11378412870856153,AMBER,MODEL_EARLY_WARNING,0.44076253199119203,6,7,0.0,0.3269784032826305,1,0,0
10,RIYADH,2025-11-16,2025-11-23,balanced_gradual,0.7,GREEN,0.01121782347297214,GREEN,LOW_OBSERVED_RISK,0.05478241074380235,6,7,0.0,0.04356458727083021,0,0,0
11,TABOUK,2025-11-23,2025-11-30,balanced_gradual,0.7,GREEN,0.05143420537494458,GREEN,LOW_OBSERVED_RISK,0.13678065304842965,4,5,0.019230769230769232,0.08534644767348507,0,0,0
12,ABHA,2025-12-07,2025-12-14,value_led,0.72,GREEN,0.061767641354217785,AMBER,MODEL_EARLY_WARNING,0.23096104644407248,4,5,0.0,0.1691934050898547,1,0,0
