date,base_inc,base_prev,future3_excl,future3_incl,future7_excl,future7_incl,future14_excl,future14_incl
2023-02-26,133409.52690036572,137677.47833048648,665269.0935509022,631497.9346428427,1328692.988458396,1286247.1803793681,2465102.9457357717,2452050.131560244
2023-02-27,139539.5362937826,133409.52690036572,622106.0329074012,665269.0935509022,1177278.2510684864,1328692.988458396,2355375.587200043,2465102.9457357717
2023-02-28,140604.61612091024,139539.5362937826,589011.3232619434,622106.0329074012,1170001.403774365,1177278.2510684864,2312831.373035079,2355375.587200043
2023-03-01,143378.95647068007,140604.61612091024,497050.47535752144,589011.3232619434,1301007.7369096798,1170001.403774365,2303600.1551991766,2312831.373035079
2023-03-02,148523.1390710406,143378.95647068007,413443.2552354977,497050.47535752144,1148684.834488493,1301007.7369096798,2159284.0856303885,2303600.1551991766
2023-03-03,150479.31659130933,148523.1390710406,373840.30495014146,413443.2552354977,1072120.6840617284,1148684.834488493,2175638.779491338,2159284.0856303885
2023-03-04,145726.42166510393,150479.31659130933,515252.15803783963,373840.30495014146,1165802.951180876,1072120.6840617284,2224800.660597344,2175638.779491338
2023-03-05,148730.95100390105,145726.42166510393,637583.8420021862,515252.15803783963,1136409.9572773755,1165802.951180876,2216073.4589759917,2224800.660597344
2023-03-06,148594.96861380254,148730.95100390105,593512.6163274077,637583.8420021862,1178097.3361315564,1136409.9572773755,2219815.050130525,2216073.4589759917
2023-03-07,149487.92678036887,148594.96861380254,491130.60354930704,593512.6163274077,1142829.969260714,1178097.3361315564,2138862.097265827,2219815.050130525
2023-03-08,156785.7738348997,149487.92678036887,361845.6896287176,491130.60354930704,1002592.4182894971,1142829.969260714,1904470.4462772175,2138862.097265827
2023-03-09,156007.9704816292,156785.7738348997,401168.37802438054,361845.6896287176,1010599.2511418955,1002592.4182894971,1968185.7524793535,1904470.4462772175
2023-03-10,152495.95164455342,156007.9704816292,479816.9570199694,401168.37802438054,1103518.0954296095,1010599.2511418955,2000562.279218422,1968185.7524793535
2023-03-11,152966.83956400346,152495.95164455342,492279.1761176777,479816.9570199694,1058997.709416468,1103518.0954296095,2033375.6066703128,2000562.279218422
2023-03-12,153286.71864489192,152966.83956400346,503766.30301430775,492279.1761176777,1079663.5016986162,1058997.709416468,2118236.762078593,2033375.6066703128
2023-03-13,155444.86414551197,153286.71864489192,426014.53133774677,503766.30301430775,1041717.7139989688,1079663.5016986162,2067836.7150087836,2118236.762078593
2023-03-14,157297.003466402,155444.86414551197,451818.7297182024,426014.53133774677,996032.128005113,1041717.7139989688,2010138.9034823,2067836.7150087836
2023-03-15,158358.5383259403,157297.003466402,418250.9807556884,451818.7297182024,901878.0279877202,996032.128005113,1999816.6356849961,2010138.9034823
2023-03-16,157168.63429815092,158358.5383259403,470232.6285811012,418250.9807556884,957586.5013374583,901878.0279877202,2073668.488467681,1999816.6356849961
2023-03-17,159357.9283651198,157168.63429815092,418016.5755893287,470232.6285811012,897044.1837888128,957586.5013374583,2028582.9224115165,2073668.488467681
2023-03-18,158173.5754315478,159357.9283651198,429313.5947063229,418016.5755893287,974377.8972538448,897044.1837888128,2095599.4987722354,2028582.9224115165
2023-03-19,157446.3096429455,158173.5754315478,325980.8293034118,429313.5947063229,1038573.2603799767,974377.8972538448,2094685.8668138757,2095599.4987722354
2023-03-20,157447.38467783382,157446.3096429455,341883.3186762361,325980.8293034118,1026119.0010098147,1038573.2603799767,2057073.3925734384,2094685.8668138757
2023-03-21,157157.24568265074,157447.38467783382,352830.785501902,341883.3186762361,1014106.7754771871,1026119.0010098147,2217553.254140881,2057073.3925734384
2023-03-22,153283.90759993557,157157.24568265074,490750.85002181295,352830.785501902,1097938.6076972762,1014106.7754771871,2341922.043831598,2217553.254140881
2023-03-23,156456.51446960098,153283.90759993557,551219.3876236198,490750.85002181295,1116081.987130223,1097938.6076972762,2319889.5843437226,2341922.043831598
2023-03-24,156751.34759457735,156456.51446960098,547091.3928103306,551219.3876236198,1131538.738622704,1116081.987130223,2330402.589083799,2319889.5843437226
2023-03-25,160193.776365377,156751.34759457735,469042.4729296652,547091.3928103306,1121221.6015183907,1131538.738622704,2231551.5353073394,2330402.589083799
2023-03-26,163690.70385051303,160193.776365377,385346.1766207112,469042.4729296652,1056112.6064338991,1121221.6015183907,2213581.870141215,2231551.5353073394
2023-03-27,157971.8679360295,163690.70385051303,431846.3047966445,385346.1766207112,1030954.3915636239,1056112.6064338991,2359909.757304929,2213581.870141215
